date,inventory
10/4/2014,133
11/4/2014,134
12/4/2014,136
13/4/2014,136
14/4/2014,138
15/4/2014,139
16/4/2014,140
17/4/2014,141
18/4/2014,141
19/4/2014,143
20/4/2014,144
21/4/2014,145
22/4/2014,147
23/4/2014,149
24/4/2014,150
25/4/2014,152
26/4/2014,154
27/4/2014,155
28/4/2014,156
29/4/2014,157
30/4/2014,158
1/5/2014,159
2/5/2014,160
3/5/2014,161
4/5/2014,162
5/5/2014,163
6/5/2014,164
7/5/2014,164
8/5/2014,165
9/5/2014,166
10/5/2014,168
11/5/2014,169
12/5/2014,170
13/5/2014,173
14/5/2014,175
15/5/2014,177
16/5/2014,180
17/5/2014,180
18/5/2014,181
19/5/2014,183
20/5/2014,184
21/5/2014,185
22/5/2014,188
23/5/2014,189
24/5/2014,190
25/5/2014,192
26/5/2014,195
27/5/2014,196
28/5/2014,198
29/5/2014,199
30/5/2014,201
31/5/2014,203
1/6/2014,204
2/6/2014,207
3/6/2014,208
4/6/2014,210
5/6/2014,213
6/6/2014,214
7/6/2014,216
8/6/2014,220
9/6/2014,221
10/6/2014,223
11/6/2014,224
12/6/2014,227
13/6/2014,229
14/6/2014,230
15/6/2014,231
16/6/2014,232
17/6/2014,234
18/6/2014,236
19/6/2014,237
20/6/2014,239
21/6/2014,241
22/6/2014,243
23/6/2014,244
24/6/2014,245
25/6/2014,246
26/6/2014,249
27/6/2014,251
28/6/2014,253
29/6/2014,254
30/6/2014,256
1/7/2014,259
2/7/2014,260
3/7/2014,260
4/7/2014,263
5/7/2014,264
6/7/2014,265
7/7/2014,266
8/7/2014,268
9/7/2014,268
10/7/2014,269
11/7/2014,270
12/7/2014,271
13/7/2014,272
14/7/2014,272
15/7/2014,272
16/7/2014,273
17/7/2014,274
18/7/2014,275
19/7/2014,276
20/7/2014,276
21/7/2014,277
22/7/2014,277
23/7/2014,278
24/7/2014,279
25/7/2014,280
26/7/2014,281
27/7/2014,281
28/7/2014,282
29/7/2014,283
30/7/2014,284
31/7/2014,285
1/8/2014,285
2/8/2014,286
3/8/2014,287
4/8/2014,288
5/8/2014,288
6/8/2014,289
7/8/2014,290
8/8/2014,290
9/8/2014,290
10/8/2014,289
11/8/2014,288
12/8/2014,288
13/8/2014,287
14/8/2014,286
15/8/2014,286
16/8/2014,285
17/8/2014,284
18/8/2014,284
19/8/2014,283
20/8/2014,282
21/8/2014,282
22/8/2014,281
23/8/2014,280
24/8/2014,280
25/8/2014,279
26/8/2014,279
27/8/2014,277
28/8/2014,276
29/8/2014,276
30/8/2014,274
31/8/2014,272
1/9/2014,271
2/9/2014,270
3/9/2014,269
4/9/2014,268
5/9/2014,268
6/9/2014,268
7/9/2014,267
8/9/2014,266
9/9/2014,264
10/9/2014,264
11/9/2014,263
12/9/2014,262
13/9/2014,261
14/9/2014,260
15/9/2014,259
16/9/2014,258
17/9/2014,258
18/9/2014,257
19/9/2014,256
20/9/2014,255
21/9/2014,254
22/9/2014,252
23/9/2014,252
24/9/2014,251
25/9/2014,250
26/9/2014,249
27/9/2014,248
28/9/2014,248
29/9/2014,247
30/9/2014,246
1/10/2014,244
2/10/2014,244
3/10/2014,242
4/10/2014,241
5/10/2014,240
6/10/2014,240
7/10/2014,238
8/10/2014,237
9/10/2014,237
10/10/2014,236
11/10/2014,236
12/10/2014,235
13/10/2014,234
14/10/2014,233
15/10/2014,233
16/10/2014,232
17/10/2014,232
18/10/2014,231
19/10/2014,230
20/10/2014,228
21/10/2014,228
22/10/2014,226
23/10/2014,226
24/10/2014,224
25/10/2014,224
26/10/2014,222
27/10/2014,220
28/10/2014,220
29/10/2014,219
30/10/2014,217
31/10/2014,216
1/11/2014,214
2/11/2014,212
3/11/2014,211
4/11/2014,210
5/11/2014,208
6/11/2014,208
7/11/2014,206
8/11/2014,204
9/11/2014,204
10/11/2014,202
11/11/2014,200
12/11/2014,200
13/11/2014,197
14/11/2014,196
15/11/2014,194
16/11/2014,192
17/11/2014,190
18/11/2014,188
19/11/2014,187
20/11/2014,185
21/11/2014,184
22/11/2014,183
23/11/2014,182
24/11/2014,181
25/11/2014,180
26/11/2014,179
27/11/2014,178
28/11/2014,177
29/11/2014,176
30/11/2014,175
1/12/2014,174
2/12/2014,173
3/12/2014,172
4/12/2014,171
5/12/2014,169
6/12/2014,168
7/12/2014,167
8/12/2014,165
9/12/2014,164
10/12/2014,163
11/12/2014,163
12/12/2014,161
13/12/2014,160
14/12/2014,159
15/12/2014,158
16/12/2014,157
17/12/2014,155
18/12/2014,153
19/12/2014,152
20/12/2014,151
21/12/2014,149
22/12/2014,148
23/12/2014,148
24/12/2014,147
25/12/2014,147
26/12/2014,147
27/12/2014,146
28/12/2014,145
29/12/2014,144
30/12/2014,144
31/12/2014,144
1/1/2015,143
2/1/2015,143
3/1/2015,142
4/1/2015,142
5/1/2015,141
6/1/2015,140
7/1/2015,141
8/1/2015,142
9/1/2015,144
10/1/2015,146
11/1/2015,147
12/1/2015,148
13/1/2015,150
14/1/2015,152
15/1/2015,153
16/1/2015,155
17/1/2015,156
18/1/2015,158
19/1/2015,160
20/1/2015,161
21/1/2015,163
22/1/2015,164
23/1/2015,165
24/1/2015,168
25/1/2015,169
26/1/2015,170
27/1/2015,171
28/1/2015,173
29/1/2015,175
30/1/2015,176
31/1/2015,178
1/2/2015,180
2/2/2015,181
3/2/2015,183
4/2/2015,185
5/2/2015,186
6/2/2015,188
7/2/2015,191
8/2/2015,192
9/2/2015,195
10/2/2015,198
11/2/2015,200
12/2/2015,200
13/2/2015,203
14/2/2015,204
15/2/2015,207
16/2/2015,210
17/2/2015,214
18/2/2015,216
19/2/2015,220
20/2/2015,222
21/2/2015,224
22/2/2015,225
23/2/2015,227
24/2/2015,228
25/2/2015,229
26/2/2015,231
27/2/2015,232
28/2/2015,232
1/3/2015,233
2/3/2015,234
3/3/2015,235
4/3/2015,236
5/3/2015,237
6/3/2015,238
7/3/2015,240
8/3/2015,241
9/3/2015,243
10/3/2015,244
11/3/2015,246
12/3/2015,247
13/3/2015,250
14/3/2015,251
15/3/2015,252
16/3/2015,254
17/3/2015,256
18/3/2015,258
19/3/2015,261
20/3/2015,263
21/3/2015,265
22/3/2015,268
23/3/2015,271
24/3/2015,272
25/3/2015,273
26/3/2015,275
27/3/2015,276
28/3/2015,278
29/3/2015,280
30/3/2015,280
31/3/2015,282
1/4/2015,283
2/4/2015,284
3/4/2015,285
4/4/2015,286
5/4/2015,287
6/4/2015,288
7/4/2015,288
8/4/2015,289
9/4/2015,291
10/4/2015,292
11/4/2015,292
12/4/2015,292
13/4/2015,292
14/4/2015,291
15/4/2015,290
16/4/2015,289
17/4/2015,288
18/4/2015,288
19/4/2015,288
20/4/2015,287
21/4/2015,286
22/4/2015,284
23/4/2015,284
24/4/2015,283
25/4/2015,282
26/4/2015,282
27/4/2015,280
28/4/2015,279
29/4/2015,277
30/4/2015,277
1/5/2015,276
2/5/2015,275
3/5/2015,273
4/5/2015,272
5/5/2015,272
6/5/2015,270
7/5/2015,268
8/5/2015,267
9/5/2015,265
10/5/2015,261
11/5/2015,260
12/5/2015,257
13/5/2015,256
14/5/2015,254
15/5/2015,251
16/5/2015,249
17/5/2015,247
18/5/2015,245
19/5/2015,245
20/5/2015,244
21/5/2015,244
22/5/2015,243
23/5/2015,242
24/5/2015,241
25/5/2015,240
26/5/2015,238
27/5/2015,236
28/5/2015,235
29/5/2015,234
30/5/2015,232
31/5/2015,231
1/6/2015,230
2/6/2015,228
3/6/2015,225
4/6/2015,224
5/6/2015,223
6/6/2015,220
7/6/2015,219
8/6/2015,217
9/6/2015,215
10/6/2015,214
11/6/2015,212
12/6/2015,210
13/6/2015,208
14/6/2015,208
15/6/2015,205
16/6/2015,205
17/6/2015,204
18/6/2015,202
19/6/2015,200
20/6/2015,200
21/6/2015,199
22/6/2015,197
23/6/2015,197
24/6/2015,196
25/6/2015,196
26/6/2015,195
27/6/2015,194
28/6/2015,193
29/6/2015,193
30/6/2015,191
1/7/2015,190
2/7/2015,188
3/7/2015,187
4/7/2015,185
5/7/2015,184
6/7/2015,182
7/7/2015,180
8/7/2015,177
9/7/2015,176
10/7/2015,175
11/7/2015,174
12/7/2015,173
13/7/2015,172
14/7/2015,170
15/7/2015,168
16/7/2015,168
17/7/2015,166
18/7/2015,166
19/7/2015,165
20/7/2015,164
21/7/2015,163
22/7/2015,162
23/7/2015,161
24/7/2015,160
25/7/2015,160
26/7/2015,159
27/7/2015,158
28/7/2015,157
29/7/2015,156
30/7/2015,156
31/7/2015,155
1/8/2015,154
2/8/2015,153
3/8/2015,152
4/8/2015,152
5/8/2015,151
6/8/2015,150
7/8/2015,149
8/8/2015,148
9/8/2015,149
10/8/2015,150
11/8/2015,152
12/8/2015,154
13/8/2015,157
14/8/2015,159
15/8/2015,160
16/8/2015,161
17/8/2015,162
18/8/2015,164
19/8/2015,164
20/8/2015,165
21/8/2015,168
22/8/2015,168
23/8/2015,170
24/8/2015,172
25/8/2015,173
26/8/2015,176
27/8/2015,176
28/8/2015,179
29/8/2015,181
30/8/2015,182
31/8/2015,184
1/9/2015,185
2/9/2015,187
3/9/2015,191
4/9/2015,192
5/9/2015,194
6/9/2015,196
7/9/2015,197
8/9/2015,199
9/9/2015,200
10/9/2015,202
11/9/2015,204
